Feature,RF_Importance,GB_Importance
h,0.26519467459462975,0.16139745337473424
Δx,0.18122659176916384,0.06329606582044776
|U|·h,0.1693482286274455,0.3630407477871315
|U|,0.16080849245556122,0.3083896243683645
Location,0.08505923171022002,0.04035331099008912
cum_dist,0.07320519865464356,0.05783246149697244
HT,0.04897396655991594,0.005005728748941122
CPC,0.01618361562842026,0.00068460741331927
