Metric,Value
Model,RandomForest
n_obs,96
RMSE_gL,0.05869481060934142
MAE_gL,0.03510219787307031
Bias_gL,-0.006458105635154141
Pearson_r,-0.015243020364925263
Pearson_r_pvalue,0.8828142406093774
Spearman_rho,0.0431330806961625
Spearman_rho_pvalue,0.6764777247510276
Threshold_gL,0.08
TP,9
FN,17
TN,49
FP,21
Sensitivity,0.34615384615384615
Specificity,0.7
F1,0.32142857142857145
Accuracy,0.6041666666666666
