Plot,n,RMSE,Bias,Pearson_r,TP,FN,TN,FP,Sensitivity,Specificity,F1,Accuracy
6,36,0.0762122988961359,0.007180329713009654,0.13666231672741325,8,4,13,11,0.6666666666666666,0.5416666666666666,0.5161290322580645,0.5833333333333334
8,36,0.050906265829753654,-0.01361011256418822,-0.02120796861931199,5,5,18,8,0.5,0.6923076923076923,0.43478260869565216,0.6388888888888888
14,12,0.05341261934908251,-0.032502041525213875,0.015159973384648279,2,1,5,4,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.5833333333333334
15,12,0.03072298034730235,-0.0018002007863341491,-0.3747709655015995,0,1,11,0,0.0,1.0,0.0,0.9166666666666666
