Metric,Value
Model,GradientBoosting
n_obs,96
RMSE_gL,0.06020392080093415
MAE_gL,0.04023251049943707
Bias_gL,-0.006698948858135465
Pearson_r,0.07438553038946552
Pearson_r_pvalue,0.47135393829087785
Spearman_rho,0.05416428162169167
Spearman_rho_pvalue,0.6001863751453143
Threshold_gL,0.08
TP,15
FN,11
TN,47
FP,23
Sensitivity,0.5769230769230769
Specificity,0.6714285714285714
F1,0.46875
Accuracy,0.6458333333333334
