Plot,n,RMSE,Bias,Pearson_r,TP,FN,TN,FP,Sensitivity,Specificity,F1,Accuracy
6,36,0.07941132428301742,0.021255837063753714,-0.021111521247506405,0,12,24,0,0.0,1.0,0.0,0.6666666666666666
8,36,0.04612680709657335,-0.02714984689133564,0.010647008366395011,7,3,9,17,0.7,0.34615384615384615,0.4117647058823529,0.4444444444444444
14,12,0.04071896990783618,-0.024181818699239094,0.30289288162177935,2,1,5,4,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.5833333333333334
15,12,0.024517127838620662,-0.009800996899248236,-0.4880728879139227,0,1,11,0,0.0,1.0,0.0,0.9166666666666666
