Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Diffusivity_Lateral_m2_s,Diffusivity_Longitudinal_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,Modelled_s0_implicit,Peclet_Number,Is_Seed_Node,Residual,Abs_Error,Squared_Error
6_G_2_Day_1_HT,6,CPC,G,F,Day_1,Neap,HT,54.23,0.52,0.0106,1.9e-05,0.15,0.15,0.0645,0.0496,0.0687731182039413,38322.53333333333,False,-0.019173118203941304,0.019173118203941304,0.0003676084616623054
6_G_2_Day_1_LT,6,CPC,G,F,Day_1,Neap,LT,54.23,0.47,-0.0107,1.7e-05,0.15,0.15,0.101,0.0777,0.0,38684.06666666666,False,0.0777,0.0777,0.006037290000000001
6_G_2_Day_2_HT,6,CPC,G,F,Day_2,Spring,HT,54.23,0.52,0.0087,1.5e-05,0.15,0.15,0.0571,0.0439,0.05952895986454034,31453.399999999994,False,-0.01562895986454034,0.01562895986454034,0.0002442643864474128
6_G_2_Day_2_LT,6,CPC,G,F,Day_2,Spring,LT,54.23,0.47,-0.0085,1.4e-05,0.15,0.15,0.1154,0.0888,0.0,30730.333333333332,False,0.0888,0.0888,0.00788544
6_G_2_Day_3_HT,6,CPC,G,F,Day_3,Spring,HT,54.23,0.52,0.0091,1.6e-05,0.15,0.15,0.0641,0.0493,0.10860886429660285,32899.53333333333,False,-0.059308864296602856,0.059308864296602856,0.003517541384152853
6_G_2_Day_3_LT,6,CPC,G,F,Day_3,Spring,LT,54.23,0.47,-0.0118,1.9e-05,0.15,0.15,0.4911,0.3778,0.0,42660.933333333334,False,0.3778,0.3778,0.14273284000000003
6_H_2_Day_1_HT,6,CPC,H,F_across,Day_1,Neap,HT,86.07,0.55,0.0112,2.1e-05,0.15,0.15,0.101,0.0777,0.0433874674164872,64265.6,False,0.03431253258351281,0.03431253258351281,0.001177349892294628
6_H_2_Day_1_LT,6,CPC,H,F_across,Day_1,Neap,LT,86.07,0.5,-0.0106,1.8e-05,0.15,0.15,0.0671,0.0516,0.0,60822.799999999996,False,0.0516,0.0516,0.00266256
6_H_2_Day_2_HT,6,CPC,H,F_across,Day_2,Spring,HT,86.07,0.55,0.0098,1.8e-05,0.15,0.15,0.0853,0.0656,0.04924734237689343,56232.399999999994,False,0.016352657623106573,0.016352657623106573,0.0002674094113385455
6_H_2_Day_2_LT,6,CPC,H,F_across,Day_2,Spring,LT,86.07,0.5,-0.0116,2e-05,0.15,0.15,0.0645,0.0496,0.0,66560.79999999999,False,0.0496,0.0496,0.00246016
6_H_2_Day_3_HT,6,CPC,H,F_across,Day_3,Spring,HT,86.07,0.55,0.0138,2.6e-05,0.15,0.15,0.1386,0.1066,0.040265396261315006,79184.4,False,0.066334603738685,0.066334603738685,0.004400279653168361
6_H_2_Day_3_LT,6,CPC,H,F_across,Day_3,Spring,LT,86.07,0.5,-0.0106,1.8e-05,0.15,0.15,0.0681,0.0524,0.0,60822.799999999996,False,0.0524,0.0524,0.0027457600000000003
8_C_2_Day_1_HT,8,CPC,C,Dutch_Canal,Day_1,Neap,HT,0.0,0.73,0.013,3.2e-05,0.15,0.15,0.05,0.038,0.038,0.0,True,0.0,0.0,0.0
8_C_2_Day_1_LT,8,CPC,C,Dutch_Canal,Day_1,Neap,LT,0.0,0.68,-0.0155,3.6e-05,0.15,0.15,0.082,0.063,0.063,0.0,True,0.0,0.0,0.0
8_D_2_Day_1_HT,8,CPC,D,C,Day_1,Neap,HT,50.78,0.73,0.013,3.2e-05,0.15,0.15,0.0469,0.0361,0.0361,44009.33333333333,True,0.0,0.0,0.0
8_D_2_Day_1_LT,8,CPC,D,C,Day_1,Neap,LT,50.78,0.68,-0.0155,3.6e-05,0.15,0.15,0.0798,0.0614,0.0614,52472.66666666667,True,0.0,0.0,0.0
8_D_2_Day_2_HT,8,CPC,D,C,Day_2,Spring,HT,50.78,0.73,0.0187,4.7e-05,0.15,0.15,0.0497,0.0382,0.0382,63305.73333333334,True,0.0,0.0,0.0
8_D_2_Day_2_LT,8,CPC,D,C,Day_2,Spring,LT,50.78,0.68,-0.0117,2.7e-05,0.15,0.15,0.0826,0.0635,0.0635,39608.4,True,0.0,0.0,0.0
8_D_2_Day_3_HT,8,CPC,D,C,Day_3,Spring,HT,50.78,0.73,0.0178,4.4e-05,0.15,0.15,0.0939,0.0722,0.0722,60258.933333333334,True,0.0,0.0,0.0
8_D_2_Day_3_LT,8,CPC,D,C,Day_3,Spring,LT,50.78,0.68,-0.0136,3.2e-05,0.15,0.15,0.0732,0.0563,0.0563,46040.53333333333,True,0.0,0.0,0.0
8_E_2_Day_1_HT,8,CPC,E,D,Day_1,Neap,HT,78.96,0.73,0.0178,4.4e-05,0.15,0.15,0.119,0.0915,0.012380654646460888,93699.19999999998,False,0.07911934535353911,0.07911934535353911,0.006259870809172591
