Metric,Value
n_obs,96.0
RMSE_gL,0.057911663013665945
MAE_gL,0.035380899479755
Bias_gL,-0.003695200174810367
Pearson_r,0.3388298797032549
Pearson_r_pvalue,0.0007332838259647355
Pe_mean,63370.48124999999
Pe_median,58736.99999999999
Pe_min,9327.2
Pe_max,157613.86666666667
Pct_Pe_gt2,100.0
D_phys_m2s,1.5e-05
Threshold_gL,0.08
TP,14.0
FN,12.0
TN,49.0
FP,21.0
Sensitivity,0.5384615384615384
Specificity,0.7
F1,0.45901639344262296
Accuracy,0.65625
