Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Diffusivity_Lateral_m2_s,Diffusivity_Longitudinal_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,Modelled_s0,Peclet_Number,Is_Seed_Node,Residual,Abs_Error,Squared_Error
6_F_across_2_Day_3_HT,6,CPC,F_across,D,Day_3,Spring,HT,49.82,0.93,0.0155,4.9e-05,0.15,0.15,0.4911,0.3778,0.05930236143262403,51480.666666666664,False,0.318497638567376,0.318497638567376,0.10144074577299488
6_F_across_2_Day_3_LT,6,CPC,F_across,D,Day_3,Spring,LT,49.82,0.87,-0.0181,5.4e-05,0.15,0.15,0.1154,0.0888,0.07159366228866487,60116.13333333333,False,0.017206337711335132,0.017206337711335132,0.0002960580574365135
6_G_2_Day_1_HT,6,CPC,G,F,Day_1,Neap,HT,54.23,0.52,0.0106,1.9e-05,0.15,0.15,0.0645,0.0496,0.06329197213934999,38322.53333333333,False,-0.013691972139349994,0.013691972139349994,0.00018747010106473643
6_G_2_Day_1_LT,6,CPC,G,F,Day_1,Neap,LT,54.23,0.47,-0.0107,1.7e-05,0.15,0.15,0.101,0.0777,0.2170356931950329,38684.06666666666,False,-0.13933569319503292,0.13933569319503292,0.01941443539814034
6_G_2_Day_2_HT,6,CPC,G,F,Day_2,Spring,HT,54.23,0.52,0.0087,1.5e-05,0.15,0.15,0.0571,0.0439,0.043863496134859487,31453.399999999994,False,3.650386514051501e-05,3.650386514051501e-05,1.3325321701969071e-09
6_G_2_Day_2_LT,6,CPC,G,F,Day_2,Spring,LT,54.23,0.47,-0.0085,1.4e-05,0.15,0.15,0.1154,0.0888,0.09692700453078171,30730.333333333332,False,-0.008127004530781703,0.008127004530781703,6.604820264334633e-05
6_G_2_Day_3_HT,6,CPC,G,F,Day_3,Spring,HT,54.23,0.52,0.0091,1.6e-05,0.15,0.15,0.0641,0.0493,0.08459317723569584,32899.53333333333,False,-0.03529317723569585,0.03529317723569585,0.0012456083593902396
6_G_2_Day_3_LT,6,CPC,G,F,Day_3,Spring,LT,54.23,0.47,-0.0118,1.9e-05,0.15,0.15,0.4911,0.3778,0.21378033541315983,42660.933333333334,False,0.1640196645868402,0.1640196645868402,0.02690245037117956
6_H_2_Day_1_HT,6,CPC,H,F_across,Day_1,Neap,HT,86.07,0.55,0.0112,2.1e-05,0.15,0.15,0.101,0.0777,0.03791654365518484,64265.6,False,0.039783456344815164,0.039783456344815164,0.001582723398739814
6_H_2_Day_1_LT,6,CPC,H,F_across,Day_1,Neap,LT,86.07,0.5,-0.0106,1.8e-05,0.15,0.15,0.0671,0.0516,0.18960139068676324,60822.799999999996,False,-0.13800139068676323,0.13800139068676323,0.01904438383148066
6_H_2_Day_2_HT,6,CPC,H,F_across,Day_2,Spring,HT,86.07,0.55,0.0098,1.8e-05,0.15,0.15,0.0853,0.0656,0.03364511081149395,56232.399999999994,False,0.03195488918850606,0.03195488918850606,0.0010211149430497013
6_H_2_Day_2_LT,6,CPC,H,F_across,Day_2,Spring,LT,86.07,0.5,-0.0116,2e-05,0.15,0.15,0.0645,0.0496,0.06624303078026664,66560.79999999999,False,-0.01664303078026664,0.01664303078026664,0.0002769904735529028
6_H_2_Day_3_HT,6,CPC,H,F_across,Day_3,Spring,HT,86.07,0.55,0.0138,2.6e-05,0.15,0.15,0.1386,0.1066,0.016182968573994573,79184.4,False,0.09041703142600543,0.09041703142600543,0.008175239571891254
6_H_2_Day_3_LT,6,CPC,H,F_across,Day_3,Spring,LT,86.07,0.5,-0.0106,1.8e-05,0.15,0.15,0.0681,0.0524,0.10630909494243282,60822.799999999996,False,-0.05390909494243282,0.05390909494243282,0.0029061905175122357
8_C_2_Day_1_HT,8,CPC,C,Dutch_Canal,Day_1,Neap,HT,0.0,0.73,0.013,3.2e-05,0.15,0.15,0.05,0.038,0.038,0.0,True,0.0,0.0,0.0
